selts_lk	selts_ek	sugukond_lk	sugukond_ek	nimi_lk	nimi_ek	nimi_ik
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Accipiter chionogaster, Accipiter striatus chionogaster	valgekõht-raudkull	White-breasted Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Accipiter erythronemius, Accipiter striatus erythronemius	brasiilia raudkull	Rufous-thighed Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Accipiter madagascariensis	madagaskari raudkull	Madagascar Sparrowhawk, Madagascan Sparrowhawk, Madagascar Sparrow Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Accipiter nisus	raudkull (harilik raudkull)	Eurasian Sparrowhawk, Northern Sparrow Hawk, Northern Sparrowhawk, Sparrowhawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Accipiter ovampensis	savanni-raudkull	Ovambo Sparrowhawk, Ovampo Sparrow Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Accipiter poliogaster	selvakull	Grey-bellied Hawk, Grey-bellied Goshawk, Gray-bellied Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Accipiter rufiventris	mägi-raudkull	Rufous-breasted Sparrowhawk, Rufous-breasted Sparrow Hawk, Rufous-chested Sparrowhawk, Red-breasted Sparrowhawk, Rufous Sparrowhawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Accipiter striatus	ameerika raudkull	Sharp-shinned Hawk, Sharpshin, Sharpie, Little Blue Darter
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Accipiter ventralis, Accipiter striatus ventralis	nõlva-raudkull	Plain-breasted Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aegypius monachus	raisakotkas	Cinereous Vulture, Eurasian Black Vulture, European Black Vulture, Black Vulture, Monk Vulture
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aerospiza castanilius, Accipiter castanilius, Accipiter castanilus	punakülg-raudkull	Chestnut-flanked Sparrowhawk, Chestnut-bellied Sparrow Hawk, Chestnut-flanked Goshawk, Chestnut-bellied Sparrowhawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aerospiza tachiro macroscelides, Accipiter toussenelii macroscelides, Accipiter tachiro macroscelides	ginea raudkull	West African Goshawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aerospiza tachiro toussenelii, Accipiter toussenelii	redu-raudkull	Red-chested Goshawk, West African Goshawk*
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aerospiza tachiro, Accipiter tachiro	ao-raudkull	African Goshawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila adalberti	ibeeria kääpakotkas	Spanish Imperial Eagle, Adalbert's Imperial Eagle, White-shouldered Eagle, Adalbert's Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila africana, Spizaetus africanus, Hieraaetus africanus	kongo kotkas	Cassin's Hawk-eagle, Cassin's Hawk Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila audax, Uroaetus audax	kiilsaba-kotkas	Wedge-tailed Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila chrysaetos	kaljukotkas (maakotkas)	Golden Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila fasciata, Hieraaetus fasciatus	haugaskotkas	Bonelli's Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila gurneyi, Spizaetus gurneyi	paapua kotkas	Gurney's Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila heliaca	kääpakotkas	Eastern Imperial Eagle, Imperial Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila nipalensis	stepikotkas	Steppe Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila nipalensis nipalensis, Aquila nipalensis (s. str.)	kõnnukotkas	Eastern Steppe Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila nipalensis orientalis, Aquila orientalis	stepikotkas	Western Steppe Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila rapax	savannikotkas	Tawny Eagle, Tawny Eagle and Steppe Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila rapax vindhiana, Aquila vindhiana	india kotkas	Indian Tawny Eagle, Eurasian Tawny Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila spilogaster, Hieraaetus spilogaster	aafrika haugaskotkas	African Hawk-eagle, African Hawk Eagle, African Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila verreauxii	mustkotkas	Verreaux's Eagle, African Black Eagle, Black Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Astur atricapillus, Accipiter gentilis atricapillus, Accipiter atricapillus	ameerika kanakull	American Goshawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Astur bicolor, Accipiter bicolor	väike-tanukull	Bicolored Hawk, Bicoloured Hawk, Bicoloured Sparrow Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Astur chilensis, Accipiter bicolor chilensis, Accipiter chilensis	tšiili tanukull	Chilean Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Astur cooperii, Accipiter cooperii	põhja-tanukull	Cooper's Hawk, Big Blue Darter, Chicken Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Astur gentilis buteoides, Accipiter gentilis buteoides	põhja-kanakull	Northern Northern Goshawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Astur gentilis, Accipiter gentilis	kanakull (harilik kanakull)	Eurasian Goshawk, Northern Goshawk, Goshawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Astur gundlachi, Accipiter gundlachi, [Accipiter gundlachii]	kuuba tanukull	Gundlach's Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Astur henstii, Accipiter henstii	madagaskari kanakull	Henst's Goshawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Astur melanoleucus, Accipiter melanoleucus	pugal-kanakull	Black Sparrowhawk, Great Sparrow Hawk, Great Sparrowhawk, Black Goshawk, Pied Goshawk, Black-and-white Sparrowhawk, Black-and-white Goshawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Astur meyerianus, Accipiter meyerianus	paapua kanakull	Meyer's Goshawk, Papuan Goshawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aviceda cuculoides	aafrika tutthaugas	African Cuckoo-hawk, African Cuckoo Hawk, African Cuckoo Falcon, Cuckoo Falcon, African Baza
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aviceda jerdoni	pruun-tutthaugas	Jerdon's Baza, Blyth's Baza, Legge's Baza, Crested Baza, Brown Lizard Hawk, Crested Lizard Hawk
